Tipo de Material,Caminho_Relativo,Nome_Arquivo,Entropia,Complexidade
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_10_col.png,15a-scale_10_im_10_col.png,0.965549726105654,0.06703277818693536
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_11_col.png,15a-scale_10_im_11_col.png,0.9629483177821355,0.07024793116694866
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_12_col.png,15a-scale_10_im_12_col.png,0.9636297301051224,0.0704851962478478
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_1_col.png,15a-scale_10_im_1_col.png,0.9565645766086985,0.08345631095704216
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_2_col.png,15a-scale_10_im_2_col.png,0.9572904419902607,0.08200284460169453
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_3_col.png,15a-scale_10_im_3_col.png,0.9507494166619639,0.09375757659116078
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_4_col.png,15a-scale_10_im_4_col.png,0.9486324398732838,0.0962287064302548
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_5_col.png,15a-scale_10_im_5_col.png,0.9585596858313211,0.0771204970660275
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_6_col.png,15a-scale_10_im_6_col.png,0.9597397632400523,0.07598047489725669
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_7_col.png,15a-scale_10_im_7_col.png,0.9308014242086848,0.12472698501092606
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_8_col.png,15a-scale_10_im_8_col.png,0.9570140950378092,0.08266717471025371
aluminium_foil,aluminium_foil\sample_a\15a-scale_10_im_9_col.png,15a-scale_10_im_9_col.png,0.9515625304007642,0.09145674320049972
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_10_col.png,15a-scale_2_im_10_col.png,0.9540243230877781,0.0864578579601255
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_11_col.png,15a-scale_2_im_11_col.png,0.9698170803309033,0.05954518182046432
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_12_col.png,15a-scale_2_im_12_col.png,0.9514894876047914,0.08847422153000283
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_1_col.png,15a-scale_2_im_1_col.png,0.9478439409022271,0.09520635571185315
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_2_col.png,15a-scale_2_im_2_col.png,0.9463279872709844,0.09680840564146717
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_3_col.png,15a-scale_2_im_3_col.png,0.9092761694314733,0.1612197598119769
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_4_col.png,15a-scale_2_im_4_col.png,0.9358113851763215,0.1205019674782496
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_5_col.png,15a-scale_2_im_5_col.png,0.9548029036743837,0.08555868982868066
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_6_col.png,15a-scale_2_im_6_col.png,0.9590083615322177,0.07896886393514177
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_7_col.png,15a-scale_2_im_7_col.png,0.913227905379062,0.1394576059609503
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_8_col.png,15a-scale_2_im_8_col.png,0.9519732663830538,0.08644151001838893
aluminium_foil,aluminium_foil\sample_a\15a-scale_2_im_9_col.png,15a-scale_2_im_9_col.png,0.9228939067491017,0.13603552285078654
aluminium_foil,aluminium_foil\sample_a\15a-scale_3_im_10_col.png,15a-scale_3_im_10_col.png,0.9567920450256882,0.08246921924876104
aluminium_foil,aluminium_foil\sample_a\15a-scale_3_im_11_col.png,15a-scale_3_im_11_col.png,0.9708458144335226,0.05738952042990754
aluminium_foil,aluminium_foil\sample_a\15a-scale_3_im_12_col.png,15a-scale_3_im_12_col.png,0.9551891848172251,0.08163227214224422
